"","GEOID","coll","bach","grad","Total_Stay","coll_Total","bach_Total","grad_Total","Total","Moved_in"
"1",53033002500,1652,880,486,3018,2011,1011,594,3616,598
"2",53033002600,791,1993,1080,3864,1119,2654,1619,5392,1528
"3",53033005600,292,1018,879,2189,351,1133,1073,2557,368
"4",53033006800,211,986,910,2107,273,1162,1095,2530,423
"5",53033006000,656,897,702,2255,884,1032,887,2803,548
"6",53033005900,489,301,76,866,656,357,83,1096,230
"7",53033005700,714,998,1170,2882,733,1297,1254,3284,402
"8",53033004900,245,718,692,1655,322,838,783,1943,288
"9",53033005801,1000,1807,1046,3853,1092,2059,1167,4318,465
"10",53033004800,556,730,421,1707,626,803,474,1903,196
"11",53033004700,881,785,619,2285,1099,1051,730,2880,595
"12",53033003200,1360,2013,989,4362,1470,2381,1241,5092,730
"13",53033003500,694,1319,754,2767,959,1649,883,3491,724
"14",53033003400,444,573,509,1526,632,852,738,2222,696
"15",53033003300,253,505,663,1421,264,585,690,1539,118
"16",53033002800,951,555,330,1836,1155,738,462,2355,519
"17",53033002900,450,981,816,2247,531,1130,937,2598,351
"18",53033003000,691,1296,1530,3517,813,1651,1909,4373,856
"19",53033003100,573,1531,1378,3482,712,1977,1523,4212,730
"20",53033001701,697,1535,796,3028,1069,2134,1108,4311,1283
"21",53033001702,1130,2330,1367,4827,1379,3389,2960,7728,2901
"22",53033001600,881,1237,748,2866,1268,1798,975,4041,1175
"23",53033001500,661,1783,1085,3529,824,2497,1585,4906,1377
"24",53033000200,576,1431,1035,3042,669,1760,1233,3662,620
"25",53033002700,288,838,907,2033,318,1045,1022,2385,352
"26",53033002200,489,891,845,2225,600,1384,1132,3116,891
"27",53033002400,616,551,286,1453,691,619,360,1670,217
"28",53033002000,161,361,317,839,206,572,478,1256,417
"29",53033002100,932,617,303,1852,1066,710,377,2153,301
"30",53033001900,909,1115,687,2711,1198,1660,904,3762,1051
"31",53033001800,534,715,803,2052,621,734,917,2272,220
"32",53033000900,376,722,725,1823,713,1061,932,2706,883
"33",53033001300,576,1048,985,2609,710,1299,1132,3141,532
"34",53033001100,1211,1987,1943,5141,1600,2772,2381,6753,1612
"35",53033001000,208,890,800,1898,267,1142,1022,2431,533
"36",53033001200,363,666,751,1780,424,896,957,2277,497
"37",53033000800,537,1742,1438,3717,732,2419,2967,6118,2401
"38",53033000600,414,915,1059,2388,659,1740,1293,3692,1304
"39",53033000700,431,1715,1543,3689,566,2440,1841,4847,1158
"40",53033000100,685,510,291,1486,862,671,313,1846,360
"41",53033000300,492,713,345,1550,640,910,461,2011,461
"42",53033004100,1672,1271,626,3569,2102,1507,667,4276,707
"43",53033005200,636,1155,1006,2797,768,1442,1141,3351,554
"44",53033005100,45,40,11,96,101,80,49,230,134
"45",53033005301,908,2670,2021,5599,1042,4402,3100,8544,2945
"46",53033005000,651,668,1082,2401,765,998,1399,3162,761
"47",53033004200,910,2106,1671,4687,1100,2839,1947,5886,1199
"48",53033004301,1524,1303,517,3344,1910,1450,645,4005,661
"49",53033004302,191,611,584,1386,223,681,655,1559,173
"50",53033004000,689,847,655,2191,696,881,675,2252,61
"51",53033004400,383,538,681,1602,456,646,712,1814,212
"52",53033004500,1364,2047,1690,5101,1673,2742,2004,6419,1318
"53",53033004600,308,692,664,1664,378,919,778,2075,411
"54",53033003600,502,1027,510,2039,642,1383,720,2745,706
"55",53033003900,339,969,765,2073,418,1128,931,2477,404
"56",53033003800,594,1526,1134,3254,678,1767,1480,3925,671
"57",53033001400,790,1542,877,3209,936,1688,1083,3707,498
"58",53033000402,668,1553,923,3144,742,1944,1115,3801,657
"59",53033000401,364,1442,1330,3136,483,1822,1669,3974,838
"60",53033007800,1083,2243,1698,5024,1398,3123,2662,7183,2159
"61",53033009200,738,1153,1675,3566,781,1348,1911,4040,474
"62",53033008800,863,1397,1449,3709,1043,1578,1672,4293,584
"63",53033008700,376,864,762,2002,412,953,798,2163,161
"64",53033008600,254,560,806,1620,300,745,957,2002,382
"65",53033008500,940,1410,941,3291,1052,1706,1186,3944,653
"66",53033008100,294,383,90,767,380,605,151,1136,369
"67",53033008200,493,1925,1214,3632,645,2197,1463,4305,673
"68",53033008300,578,1504,1036,3118,765,1772,1228,3765,647
"69",53033008400,452,1337,742,2531,528,1886,1130,3544,1013
"70",53033007900,841,1138,597,2576,1282,1412,668,3362,786
"71",53033007500,740,2018,1318,4076,911,2821,1992,5724,1648
"72",53033007700,626,471,204,1301,747,603,261,1611,310
"73",53033007300,1260,1155,429,2844,1385,1204,465,3054,210
"74",53033007402,287,699,437,1423,331,817,510,1658,235
"75",53033007600,822,887,661,2370,912,1256,791,2959,589
"76",53033007401,657,472,134,1263,710,552,142,1404,141
"77",53033006300,509,1114,909,2532,587,1369,965,2921,389
"78",53033006200,661,1154,460,2275,777,1480,603,2860,585
"79",53033006500,406,1660,2322,4388,506,2292,2550,5348,960
"80",53033006600,1178,1020,796,2994,1415,1440,1105,3960,966
"81",53033006400,1001,1854,1137,3992,1029,2113,1334,4476,484
"82",53033006700,706,1396,1134,3236,1007,2021,1524,4552,1316
"83",53033006100,1254,1256,1175,3685,1558,1744,1258,4560,875
"84",53033005400,605,1388,1231,3224,718,1588,1322,3628,404
"85",53033005302,811,1032,552,2395,1003,1654,1022,3679,1284
"86",53033011700,1023,2627,1788,5438,1265,4038,2616,7919,2481
"87",53033011800,910,1598,1150,3658,1022,2041,1555,4618,960
"88",53033026400,310,888,1143,2341,424,1407,1374,3205,864
"89",53033026500,492,1206,678,2376,753,1553,1047,3353,977
"90",53033011002,831,984,630,2445,978,1165,796,2939,494
"91",53033011001,938,356,193,1487,1126,535,287,1948,461
"92",53033011102,764,658,739,2161,1030,922,962,2914,753
"93",53033011101,1458,2438,1179,5075,1544,2689,1403,5636,561
"94",53033010200,1805,1002,568,3375,2157,1157,623,3937,562
"95",53033010300,1371,1240,1006,3617,1615,1663,1243,4521,904
"96",53033010401,652,1340,1002,2994,739,1933,1224,3896,902
"97",53033010402,1131,1900,1056,4087,1461,2852,1681,5994,1907
"98",53033009300,1049,714,273,2036,1150,867,354,2371,335
"99",53033010001,397,321,499,1217,824,729,720,2273,1056
"100",53033010100,816,1717,2567,5100,922,1909,2695,5526,426
"101",53033009500,964,1652,1866,4482,1082,1780,2058,4920,438
"102",53033010002,408,545,428,1381,1057,833,632,2522,1141
"103",53033009400,620,558,393,1571,735,712,489,1936,365
"104",53033008900,653,1218,1097,2968,783,1808,1585,4176,1208
"105",53033009000,556,529,453,1538,653,685,511,1849,311
"106",53033009100,272,257,88,617,327,295,94,716,99
"107",53033012100,587,597,464,1648,683,698,560,1941,293
"108",53033012000,923,1960,1197,4080,1095,2271,1402,4768,688
"109",53033011402,1224,952,728,2904,1541,1285,1178,4004,1100
"110",53033011600,520,878,361,1759,549,961,394,1904,145
"111",53033011300,382,1081,1135,2598,426,1350,1364,3140,542
"112",53033011500,913,513,352,1778,1045,743,483,2271,493
"113",53033011401,548,826,732,2106,829,1404,1263,3496,1390
"114",53033010800,678,1050,1000,2728,746,1319,1140,3205,477
"115",53033010701,538,813,667,2018,714,1056,826,2596,578
"116",53033010600,1212,1581,711,3504,1404,2065,915,4384,880
"117",53033010702,800,1039,477,2316,1269,1506,839,3614,1298
"118",53033010500,298,1016,1482,2796,345,1321,1608,3274,478
"119",53033009900,783,1778,1079,3640,981,2081,1370,4432,792
"120",53033009702,609,1628,1262,3499,741,1946,1502,4189,690
"121",53033009701,322,343,381,1046,339,417,447,1203,157
"122",53033009800,975,1196,1330,3501,1345,2138,2509,5992,2491
"123",53033009600,675,1521,1189,3385,967,2060,1324,4351,966
"124",53033008001,786,630,368,1784,834,793,491,2118,334
"125",53033008002,1280,2309,1309,4898,1345,2620,1423,5388,490
"126",53033007200,880,1554,1051,3485,947,1833,1363,4143,658
"127",53033007100,1017,1662,1371,4050,1128,1911,1506,4545,495
"128",53033005802,444,366,161,971,686,585,244,1515,544
"129",53033007000,773,1242,882,2897,1165,1648,990,3803,906
"130",53033006900,569,1118,879,2566,805,1517,1008,3330,764
"131",53033026001,602,917,558,2077,703,1194,615,2512,435
"132",53033000500,822,1527,1195,3544,878,1962,1312,4152,608
"133",53033010900,588,413,97,1098,613,486,122,1221,123
"134",53033011200,849,1089,629,2567,927,1276,751,2954,387
"135",53033011900,568,610,465,1643,840,943,554,2337,694
