,GEOID,med_in10,med_in14,med_house10,med_house14,col_moved,stud_pop10,stud_pop14,med_in_bot40_start,hp_in_bot40_start,coed_in_top3rd_end,hp_end_above_hp_start,disinvested,gentrified,gentrified_stud_pop14
0,53033001500,103056,56402,562300.0,429200.0,360,59,229,0,0,0,0,0,0,0
1,53033002900,96932,101203,456500.0,689500.0,620,135,57,0,0,0,1,0,0,0
2,53033003500,80088,166125,556200.0,1137000.0,461,98,315,0,0,0,1,0,0,0
3,53033004301,62705,119625,568600.0,815800.0,838,95,133,1,0,1,1,0,0,0
4,53033004302,17515,121184,353100.0,613100.0,657,16,102,1,1,0,1,1,0,0
5,53033005200,40464,39341,428700.0,369900.0,608,64,170,1,0,0,0,0,0,0
6,53033006800,96198,112969,668100.0,684000.0,1304,89,119,0,0,1,1,0,0,0
7,53033006900,101058,111806,712600.0,873000.0,1158,175,137,0,0,1,1,0,0,0
8,53033008300,48000,127787,342800.0,684100.0,2401,22,213,1,1,1,1,1,1,213
9,53033009000,44015,128059,307000.0,866500.0,883,18,140,1,1,1,1,1,1,140
10,53033011001,29470,72850,292700.0,595600.0,533,324,120,1,1,0,1,1,0,0
11,53033000200,55522,118429,339800.0,646700.0,1612,263,191,1,1,1,1,1,1,191
12,53033000600,56111,93679,349400.0,575400.0,497,145,55,1,1,0,1,1,0,0
13,53033001800,88889,68239,365400.0,437900.0,532,89,17,0,1,0,1,0,0,0
14,53033002100,84936,147750,435800.0,922000.0,498,110,76,0,0,0,1,0,0,0
15,53033005301,10953,78806,156300.0,397100.0,1377,17,165,1,1,1,1,1,1,165
16,53033006600,73300,112650,438200.0,781900.0,1175,36,44,0,0,1,1,0,0,0
17,53033007300,71061,115586,453800.0,855700.0,1283,15,86,0,0,1,1,0,0,0
18,53033007900,54216,115129,377800.0,890000.0,2901,100,53,1,1,1,1,1,1,53
19,53033008400,44524,98281,339900.0,623900.0,220,5,172,1,1,0,1,1,0,0
20,53033009200,23208,118590,311100.0,803100.0,1051,20,33,1,1,1,1,1,1,33
21,53033009800,73058,90024,437400.0,522800.0,417,242,67,0,0,0,1,0,0,0
22,53033010300,49861,78632,339300.0,356800.0,301,202,0,1,1,0,1,1,0,0
23,53033011002,42715,130524,318600.0,1005500.0,891,222,119,1,1,1,1,1,1,119
24,53033012000,85893,121635,338300.0,685600.0,217,67,46,0,1,0,1,0,0,0
25,53033026500,32951,98698,214000.0,743600.0,598,344,177,1,1,0,1,1,0,0
26,53033000401,32145,100917,284800.0,502100.0,1528,276,142,1,1,1,1,1,1,142
27,53033001702,61928,34461,360600.0,718800.0,352,173,95,1,1,0,1,1,0,0
28,53033003600,66075,82869,540500.0,402300.0,519,54,234,0,0,0,0,0,0,0
29,53033005100,96500,53312,636700.0,380400.0,351,60,70,0,0,0,0,0,0,0
30,53033006400,151055,126944,868300.0,723700.0,856,149,192,0,0,1,0,0,0,0
31,53033010702,42206,60349,310400.0,724700.0,730,250,133,1,1,0,1,1,0,0
32,53033011300,48639,134107,282500.0,698200.0,730,318,124,1,1,0,1,1,0,0
33,53033000800,81500,95182,387300.0,845700.0,118,47,337,0,0,0,1,0,0,0
34,53033002500,103542,128664,453500.0,1058700.0,696,52,112,0,0,0,1,0,0,0
35,53033007600,61619,95764,453600.0,840900.0,724,28,106,1,0,0,1,0,0,0
36,53033011101,52879,127607,305400.0,526600.0,706,236,0,1,1,0,1,1,0,0
37,53033000402,57031,64026,374000.0,968800.0,671,68,197,1,1,0,1,1,0,0
38,53033001600,91719,110956,626500.0,722100.0,404,157,63,0,0,0,1,0,0,0
39,53033005000,63621,54151,491600.0,405100.0,61,82,179,1,0,0,0,0,0,0
